Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
Austria,"CDM, CM",CB,DEF,M. Leitgeb,32,183cm,81kg,Wolfsberger AC,2017,2021,70,70,€1.1M,1100000.0,€9K,9000.0,€1.7M
Germany,"RB, RM",RM,MID,B. Ajdini,27,176cm,73kg,VfL Osnabrück,2016,2021,70,71,€1.7M,1700000.0,€8K,8000.0,€2.9M
Portugal,CB,CB,DEF,Miguel Vieira,29,190cm,83kg,Waasland-Beveren,Jun ,Loan,70,70,€1.3M,1300000.0,€18K,18000.0,€0
Paraguay,"LM, CM, CDM",LM,MID,B. Cáceres,31,177cm,79kg,Club Libertad,2019,2023,70,70,€1.3M,1300000.0,€700,700.0,€3.5M
Brazil,"CAM, RM, ST",CAM,MID,Gabriel Xavier,26,168cm,61kg,Nagoya Grampus,2019,2022,70,70,€1.7M,1700000.0,€4K,4000.0,€2.4M
Denmark,"RW, CAM",CAM,MID,A. Dreyer,22,172cm,70kg,FC Midtjylland,2020,2024,70,78,€3.6M,3600000.0,€14K,14000.0,€3.9M
England,"CDM, CM",CDM,MID,A. Forshaw,28,174cm,71kg,Leeds United,2018,2022,70,70,€1.4M,1400000.0,€43K,43000.0,€3.2M
France,"CDM, CM",RWB,DEF,L. Abergel,27,170cm,65kg,FC Lorient,2019,2023,70,72,€1.7M,1700000.0,€15K,15000.0,€3.9M
Uruguay,"RM, LM, CAM",CF,ATT,W. Camacho,34,177cm,69kg,Defensa y Justicia,2020,2021,70,70,€750K,750000.0,€9K,9000.0,€1.4M
Colombia,"LM, CAM, RM",CAM,MID,A. Zapata,25,175cm,74kg,Emelec,2020,2021,70,73,€2.1M,2100000.0,€750,750.0,€4.9M
Colombia,"CDM, CM, CAM",CDM,MID,C. Rivera,24,184cm,78kg,Club Tijuana,2016,2023,70,78,€3.3M,3300000.0,€10K,10000.0,€4.6M
Spain,"LB, LM",LB,DEF,Pomares,27,182cm,74kg,CD Tenerife,2020,2022,70,71,€1.7M,1700000.0,€6K,6000.0,€3M
Ukraine,"LB, LWB",CB,DEF,V. Kravets,22,183cm,79kg,Lech Poznań,Jun ,Loan,70,78,€3.4M,3400000.0,€6K,6000.0,€0
Colombia,"CB, LB",CB,DEF,A. Pérez,26,177cm,77kg,Club Atlético Lanús,2020,2021,70,75,€2.1M,2100000.0,€10K,10000.0,€3.3M
Croatia,"CDM, CM",CDM,MID,K. Jakić,23,181cm,78kg,Dinamo Zagreb,2020,2025,70,77,€3M,3000000.0,€500,500.0,€5.5M
Japan,RM,RM,MID,K. Onose,27,177cm,65kg,Gamba Osaka,2018,2023,70,70,€1.7M,1700000.0,€8K,8000.0,€2.4M
Poland,CM,CDM,MID,S. Żurkowski,22,185cm,77kg,Empoli,2019,2023,70,79,€3.6M,3600000.0,€2K,2000.0,€4.7M
Belgium,"LWB, LM, LB",LWB,DEF,N. Schouterden,31,176cm,65kg,KAS Eupen,2017,2021,70,70,€1.2M,1200000.0,€7K,7000.0,€2M
Spain,ST,ST,ATT,Dani Gómez,21,178cm,69kg,Levante UD,2020,2025,70,79,€3.6M,3600000.0,€11K,11000.0,€6.4M
Mexico,"CM, CDM",CDM,MID,J. González,21,175cm,62kg,Monterrey,2017,2022,70,80,€3.6M,3600000.0,€16K,16000.0,€5.3M
Austria,"RW, LW, ST",CAM,MID,A. Gruber,25,174cm,70kg,LASK Linz,2020,2023,70,72,€2M,2000000.0,€16K,16000.0,€3.5M
Brazil,"CDM, CM",CDM,MID,Léo Silva,34,181cm,76kg,Kashima Antlers,2017,2021,70,70,€550K,550000.0,€6K,6000.0,€844K
Zimbabwe,"ST, LW, CAM",ST,ATT,K. Musona,30,177cm,71kg,KAS Eupen,Jun ,Loan,70,70,€1.6M,1600000.0,€14K,14000.0,€0
Ghana,"CM, CDM, CAM",CM,MID,R. Boateng,27,178cm,66kg,AD Alcorcón,2019,2021,70,70,€1.7M,1700000.0,€6K,6000.0,€2.8M
China PR,"CAM, RM, CM",CAM,MID,Zhang Xizhe,29,180cm,69kg,Beijing Sinobo Guoan FC,2015,2020,70,70,€1.6M,1600000.0,€11K,11000.0,€2.7M
England,CB,CB,DEF,R. Shawcross,32,191cm,76kg,Stoke City,2008,2021,70,70,€1M,1000000.0,€15K,15000.0,€2.1M
England,ST,ST,ATT,R. Brewster,20,180cm,75kg,Sheffield United,2020,2025,70,84,€3.9M,3900000.0,€16K,16000.0,€9.8M
Belgium,"ST, LM",ST,ATT,L. Openda,20,174cm,78kg,Vitesse,Jun ,Loan,70,80,€3.5M,3500000.0,€11K,11000.0,€0
Greece,"LM, RM, ST",RM,MID,C. Albanis,25,184cm,80kg,AEK Athens,2018,2021,70,72,€2M,2000000.0,€700,700.0,€5M
Austria,"RM, LB, LM",RM,MID,S. Hierländer,29,180cm,73kg,SK Sturm Graz,2016,2021,70,70,€1.6M,1600000.0,€13K,13000.0,€2.5M
Paraguay,GK,GK,GK,S. Rojas,24,185cm,80kg,Nacional Asunción,2019,2024,70,76,€2M,2000000.0,€500,500.0,€4.2M
England,"CB, RB, CM",CDM,MID,J. Howson,32,180cm,77kg,Middlesbrough,2017,2021,70,70,€1M,1000000.0,€10K,10000.0,€2.1M
Uruguay,GK,GK,GK,M. Goicoechea,32,186cm,82kg,Toulouse Football Club,2015,2021,70,70,€800K,800000.0,€3K,3000.0,€2M
Denmark,LB,LB,DEF,M. Kirkeskov,28,182cm,84kg,Piast Gliwice,2018,2020,70,70,€1.4M,1400000.0,€6K,6000.0,€2M
Iceland,"CM, CDM",CDM,MID,E. Hallfreðsson,36,186cm,86kg,lub,Free,Free,70,70,€0,0.0,€0,0.0,€0
Argentina,"LW, RW, ST",RM,MID,I. Aliseda,20,169cm,69kg,Chicago Fire,2020,2023,70,84,€3.8M,3800000.0,€4K,4000.0,€8.3M
Burkina Faso,"RB, CB",RB,DEF,S. Yago,27,180cm,77kg,Stade Malherbe Caen,2019,2021,70,70,€1.5M,1500000.0,€5K,5000.0,€2.9M
Bosnia Herzegovina,ST,ST,ATT,E. Koljić,24,191cm,92kg,Universitatea Craiova,2018,2025,70,75,€2.4M,2400000.0,€7K,7000.0,€3.4M
Ukraine,ST,ST,ATT,R. Zozulya,30,180cm,75kg,Albacete BP,2017,2021,70,70,€1.6M,1600000.0,€6K,6000.0,€2.6M
Brazil,CB,CB,DEF,Jesiel,26,186cm,84kg,Kawasaki Frontale,2020,2021,70,73,€1.8M,1800000.0,€7K,7000.0,€2.8M
Norway,"CM, LB",LM,MID,A. Trondsen,25,183cm,78kg,Trabzonspor,2020,2024,70,75,€2.3M,2300000.0,€16K,16000.0,€4.8M
Denmark,"CDM, CM",CDM,MID,J. Jønsson,27,182cm,78kg,Cádiz CF,2020,2022,70,70,€1.5M,1500000.0,€14K,14000.0,€3.5M
Brazil,CM,CM,MID,Lourival Rodeiro,28,181cm,73kg,Palmeiras,2019,2023,70,70,€1.6M,1600000.0,€20K,20000.0,€3.2M
Mexico,"ST, CF, CAM",ST,ATT,A. Vega,22,173cm,77kg,Guadalajara,2019,2021,70,80,€3.6M,3600000.0,€23K,23000.0,€5.5M
Croatia,GK,GK,GK,D. Stipica,29,189cm,79kg,Pogoń Szczecin,2019,2024,70,72,€1.3M,1300000.0,€4K,4000.0,€2.1M
Norway,RM,RM,MID,J. Berget,29,186cm,81kg,Malmö FF,2019,2022,70,70,€1.6M,1600000.0,€6K,6000.0,€2.2M
Germany,LB,LB,DEF,N. Katterbach,19,178cm,73kg,1. FC Köln,2018,2024,70,84,€3.6M,3600000.0,€7K,7000.0,€8.5M
Greece,CM,CM,MID,P. Tachtsidis,29,191cm,86kg,Lecce,2019,2022,70,70,€1.6M,1600000.0,€20K,20000.0,€3.1M
Ecuador,ST,ST,ATT,B. Angulo,24,183cm,70kg,Club Tijuana,Jun ,Loan,70,76,€2.5M,2500000.0,€29K,29000.0,€0
Mexico,CB,CB,DEF,O. Alanís,31,185cm,82kg,San Jose Earthquakes,Dec ,Loan,70,70,€1.1M,1100000.0,€22K,22000.0,€0
Mexico,LM,LM,MID,J. Angulo,23,172cm,63kg,Guadalajara,2020,2023,70,79,€3.5M,3500000.0,€21K,21000.0,€5.1M
Argentina,ST,ST,ATT,L. Ramos,30,185cm,84kg,Pachuca,Jun ,Loan,70,70,€1.6M,1600000.0,€15K,15000.0,€0
Mexico,"RB, CM, RWB",RB,DEF,J. Gómez,26,176cm,67kg,Club Tijuana,2020,2022,70,71,€1.7M,1700000.0,€11K,11000.0,€3.2M
Central African Republic,CB,CB,DEF,C. Yambéré,29,191cm,81kg,Ettifaq FC,2019,2022,70,71,€1.5M,1500000.0,€15K,15000.0,€2.9M
United States,"RB, LB, CB",RB,DEF,E. Lichaj,31,178cm,80kg,Fatih Karagümrük S.K.,2020,2021,70,70,€1.2M,1200000.0,€8K,8000.0,€2.6M
Paraguay,ST,ST,ATT,L. Barrios,35,188cm,84kg,Gimnasia y Esgrima La Plata,2020,2021,70,70,€675K,675000.0,€8K,8000.0,€1.2M
Argentina,CB,CB,DEF,E. Godoy,26,185cm,79kg,Vancouver Whitecaps FC,2020,2020,70,73,€1.8M,1800000.0,€5K,5000.0,€3.1M
Germany,"LM, CAM",CAM,MID,M. Mehlem,22,174cm,67kg,SV Darmstadt 98,2017,2022,70,79,€3.6M,3600000.0,€10K,10000.0,€4.9M
Bolivia,LM,LM,MID,R. Cardozo,30,171cm,70kg,lub,Free,Free,70,70,€0,0.0,€0,0.0,€0
Ecuador,LB,LB,DEF,B. Caicedo,28,180cm,72kg,Independiente del Valle,2020,2022,70,70,€1.4M,1400000.0,€550,550.0,€3.3M
Denmark,CAM,CAM,MID,M. Duelund,23,178cm,75kg,Dynamo Kyiv,2018,2023,70,78,€3.5M,3500000.0,€500,500.0,€6.2M
South Africa,"LW, RW, LM",LW,ATT,V. Pule,28,169cm,64kg,Orlando Pirates,2018,2021,70,70,€1.6M,1600000.0,€650,650.0,€3.9M
Netherlands,"CAM, ST",RM,MID,M. Seuntjens,28,187cm,81kg,Fortuna Sittard,2020,2022,70,70,€1.6M,1600000.0,€8K,8000.0,€2.6M
Serbia,"CM, RM, CDM",CAM,MID,M. Jojić,28,177cm,79kg,Medipol Başakşehir FK,2018,2021,70,70,€1.6M,1600000.0,€20K,20000.0,€3.4M
France,GK,GK,GK,G. Gallon,27,186cm,79kg,ESTAC Troyes,2019,2022,70,74,€1.7M,1700000.0,€4K,4000.0,€3M
Brazil,ST,RW,ATT,Cristian Lodeira,28,172cm,66kg,Goiás,2019,2023,70,70,€1.6M,1600000.0,€9K,9000.0,€3.4M
Belgium,LB,LWB,DEF,B. Bolingoli,25,180cm,73kg,Medipol Başakşehir FK,May ,Loan,70,74,€2.1M,2100000.0,€23K,23000.0,€0
Costa Rica,RB,RB,DEF,C. Gamboa,30,175cm,75kg,VfL Bochum 1848,2019,2021,70,70,€1.4M,1400000.0,€10K,10000.0,€2.2M
Switzerland,CB,CB,DEF,E. Cömert,22,183cm,80kg,FC Basel 1893,2016,2022,70,83,€3.7M,3700000.0,€8K,8000.0,€6.8M
Brazil,ST,ST,ATT,Túlio Sandoiro,24,186cm,82kg,Coritiba,2019,2023,70,70,€1.9M,1900000.0,€12K,12000.0,€3.8M
Romania,"CDM, CB",CDM,MID,D. Nedelcu,23,189cm,78kg,FCSB (Steaua),2017,2022,70,77,€3M,3000000.0,€8K,8000.0,€3.7M
Brazil,"CAM, CM",CAM,MID,Martin Cordeia,24,181cm,76kg,Internacional,2019,2023,70,70,€1.8M,1800000.0,€13K,13000.0,€3.8M
Venezuela,ST,ST,ATT,S. Córdova,22,188cm,87kg,DSC Arminia Bielefeld,Jun ,Loan,70,78,€3.6M,3600000.0,€14K,14000.0,€0
France,"RM, CM",RM,MID,R. Grange,31,177cm,71kg,La Berrichonne de Châteauroux,2019,2021,70,70,€1.3M,1300000.0,€4K,4000.0,€2.8M
Spain,"ST, LM, RM",ST,ATT,Marc Gual,24,184cm,73kg,AD Alcorcón,2020,2022,70,77,€3.2M,3200000.0,€6K,6000.0,€4.4M
Germany,"CM, CAM, CDM",CDM,MID,D. Kinsombi,24,183cm,74kg,Hamburger SV,2019,2023,70,75,€2.4M,2400000.0,€8K,8000.0,€3.9M
France,"RM, CAM",RM,MID,T. Mauricio,26,169cm,67kg,Racing Club de Lens,2019,2023,70,71,€1.9M,1900000.0,€21K,21000.0,€4.4M
Ecuador,"CB, CDM",CB,DEF,L. León,27,183cm,70kg,Atlético de San Luis,2020,2022,70,70,€1.5M,1500000.0,€9K,9000.0,€2.7M
Spain,RW,RW,ATT,Larrazabal,22,180cm,81kg,Real Zaragoza,2020,2023,70,78,€3.6M,3600000.0,€6K,6000.0,€4.7M
Ecuador,"LB, RB",LB,DEF,M. Pineida,27,170cm,70kg,Barcelona Sporting Club,2016,2023,70,70,€1.5M,1500000.0,€700,700.0,€3.4M
Wales,CB,CB,DEF,J. Rodon,22,193cm,76kg,Swansea City,2015,2022,70,79,€3.3M,3300000.0,€13K,13000.0,€5.3M
Brazil,"RW, ST, LW",RW,ATT,Ryder Matos,27,180cm,70kg,Empoli,2016,2022,70,70,€1.7M,1700000.0,€3K,3000.0,€2.9M
France,"ST, RW",RW,ATT,T. Chevalier,33,178cm,77kg,Valenciennes FC,2019,2022,70,70,€1M,1000000.0,€5K,5000.0,€1.9M
Peru,CB,CB,DEF,E. Fernández,31,184cm,80kg,Deportivo Binacional,2018,2020,70,70,€1.1M,1100000.0,€500,500.0,€2.8M
Norway,"ST, LM",ST,ATT,O. Omoijuanfo,26,188cm,75kg,Molde FK,2019,2021,70,73,€2.1M,2100000.0,€5K,5000.0,€3M
Brazil,"ST, CF, LW",CF,ATT,Eltildo Bessa,24,165cm,62kg,Fortaleza,2019,2023,70,70,€1.9M,1900000.0,€8K,8000.0,€3.8M
Ukraine,ST,ST,ATT,V. Supryaga,20,182cm,75kg,Dynamo Kyiv,2018,2023,70,84,€3.9M,3900000.0,€500,500.0,€11M
Brazil,CDM,CB,DEF,Saberto Botelho,20,182cm,77kg,Club Athletico Paranaense,2019,2023,70,70,€1.6M,1600000.0,€6K,6000.0,€3.4M
Argentina,CB,CB,DEF,L. Valenti,21,188cm,80kg,Parma,Jun ,Loan,70,81,€3.3M,3300000.0,€7K,7000.0,€0
Germany,ST,ST,ATT,S. Polter,29,192cm,94kg,Fortuna Sittard,2020,2022,70,70,€1.6M,1600000.0,€9K,9000.0,€2.6M
England,CB,CB,DEF,A. Mawson,26,189cm,90kg,Bristol City,Jun ,Loan,70,74,€2M,2000000.0,€41K,41000.0,€0
Finland,"CM, CDM",CDM,MID,G. Kamara,24,181cm,73kg,Rangers FC,2019,2023,70,77,€3.2M,3200000.0,€23K,23000.0,€5M
Ukraine,CDM,CDM,MID,M. Malyshev,27,181cm,82kg,Shakhtar Donetsk,2015,2021,70,73,€1.8M,1800000.0,€550,550.0,€4.1M
Germany,"LB, RB, LM",LB,DEF,F. Agu,20,180cm,67kg,SV Werder Bremen,2020,2024,70,83,€3.7M,3700000.0,€10K,10000.0,€7.5M
Japan,"CDM, CM",CDM,MID,T. Ohgihara,28,185cm,74kg,Yokohama F. Marinos,2017,2021,70,70,€1.4M,1400000.0,€7K,7000.0,€2.1M
Germany,GK,GK,GK,M. Schubert,22,187cm,82kg,Eintracht Frankfurt,Jun ,Loan,70,80,€3.1M,3100000.0,€9K,9000.0,€0
Colombia,GK,GK,GK,E. Chaux,28,189cm,79kg,América de Cali,2020,2020,70,72,€1.4M,1400000.0,€1K,1000.0,€2.2M
Brazil,"LM, ST",ST,ATT,Fernando Andrade,27,181cm,78kg,Çaykur Rizespor,May ,Loan,70,70,€1.7M,1700000.0,€8K,8000.0,€0
Poland,RB,RWB,DEF,R. Gumny,22,178cm,61kg,FC Augsburg,2020,2025,70,81,€3.4M,3400000.0,€12K,12000.0,€5.6M
United States,GK,GK,GK,K. Kronholm,34,188cm,83kg,Chicago Fire,2019,2021,70,70,€275K,275000.0,€4K,4000.0,€1.2M
Austria,GK,GK,GK,A. Kofler,33,194cm,87kg,Wolfsberger AC,2013,2022,70,70,€525K,525000.0,€7K,7000.0,€1.4M
Saudi Arabia,"CDM, CM",CM,MID,A. Ateef,27,177cm,68kg,Al Hilal,2013,2021,70,71,€1.6M,1600000.0,€18K,18000.0,€3.2M
Sweden,"LW, RW",CAM,MID,J. Karlsson,21,171cm,70kg,AZ Alkmaar,2020,2025,70,79,€3.6M,3600000.0,€5K,5000.0,€4.8M
Poland,"RM, ST, LM",RM,MID,B. Pawłowski,27,178cm,70kg,Śląsk Wrocław,2020,2023,70,70,€1.7M,1700000.0,€6K,6000.0,€2.6M
Sweden,"CDM, CM",CB,DEF,O. Lewicki,27,171cm,68kg,Malmö FF,2015,2024,70,71,€1.6M,1600000.0,€5K,5000.0,€2.5M
England,"ST, RM",ST,ATT,M. Waghorn,30,178cm,83kg,Derby County,2018,2021,70,70,€1.6M,1600000.0,€17K,17000.0,€3.2M
Germany,GK,GK,GK,F. Kastenmeier,23,192cm,85kg,Fortuna Düsseldorf,2019,2022,70,75,€1.9M,1900000.0,€9K,9000.0,€3M
Ukraine,"ST, CAM",ST,ATT,A. Kravets,31,189cm,79kg,Atiker Konyaspor,2020,2022,70,70,€1.3M,1300000.0,€11K,11000.0,€3.2M
England,"RWB, RB",RWB,DEF,F. Dabo,24,181cm,76kg,Coventry City,2019,2023,70,76,€2.4M,2400000.0,€18K,18000.0,€4.5M
Brazil,ST,ST,ATT,Arthur Silbeira,24,178cm,78kg,Santos,2019,2023,70,70,€1.9M,1900000.0,€14K,14000.0,€3.8M
Serbia,"CB, RB",CB,DEF,N. Tomović,32,184cm,79kg,SPAL,2020,2023,70,70,€1M,1000000.0,€17K,17000.0,€2M
Germany,"RB, RM",RWB,DEF,M. Bader,23,176cm,73kg,SV Darmstadt 98,2020,2022,70,78,€3.4M,3400000.0,€9K,9000.0,€4.1M
Denmark,CB,CB,DEF,R. Lauritsen,24,189cm,78kg,Dinamo Zagreb,2020,2024,70,77,€3M,3000000.0,€500,500.0,€5.5M
Argentina,ST,ST,ATT,L. Ulloa,33,186cm,88kg,Rayo Vallecano,2019,2021,70,70,€1M,1000000.0,€6K,6000.0,€1.8M
Japan,"LM, RM",LM,MID,K. Higashi,29,178cm,72kg,FC Tokyo,2013,2021,70,70,€1.6M,1600000.0,€7K,7000.0,€2.1M
Croatia,CB,CB,DEF,T. Borevković,23,194cm,86kg,Rio Ave FC,2018,2023,70,79,€3.3M,3300000.0,€5K,5000.0,€5.8M
United States,"CM, CDM",CM,MID,M. Diskerud,29,184cm,73kg,Helsingborgs IF,Dec ,Loan,70,70,€1.6M,1600000.0,€53K,53000.0,€0
Northern Ireland,"CDM, CM, CB",CB,DEF,P. McNair,25,183cm,72kg,Middlesbrough,2018,2022,70,77,€2.9M,2900000.0,€9K,9000.0,€4.8M
Romania,CDM,CDM,MID,M. Bordeianu,28,175cm,73kg,CFR Cluj,2018,2022,70,71,€1.5M,1500000.0,€9K,9000.0,€2.7M
Italy,"CB, CDM",CM,MID,L. Marrone,30,186cm,75kg,Crotone,2019,2022,70,70,€1.3M,1300000.0,€7K,7000.0,€2.5M
Austria,CB,CB,DEF,G. Margreitter,31,186cm,87kg,1. FC Nürnberg,2015,2021,70,70,€1.1M,1100000.0,€7K,7000.0,€2.1M
Mali,"CDM, CM",CDM,MID,M. Camara,20,169cm,68kg,FC Red Bull Salzburg,2018,2025,70,81,€3.3M,3300000.0,€10K,10000.0,€4.8M
Ghana,"CDM, CM",CDM,MID,Y. Ackah,21,169cm,65kg,Kayserispor,2020,2023,70,77,€3M,3000000.0,€6K,6000.0,€5.1M
Republic of Ireland,LM,CAM,MID,A. McGeady,34,177cm,71kg,Sunderland,2017,2021,70,70,€750K,750000.0,€9K,9000.0,€1.6M
England,"LB, LWB",LWB,DEF,M. Clark,24,180cm,73kg,Vitesse,2018,2021,70,74,€2.1M,2100000.0,€8K,8000.0,€3.2M
Argentina,"LM, CM",LM,MID,V. Malcorra,32,170cm,74kg,Club Atlas,2020,2021,70,70,€1.3M,1300000.0,€8K,8000.0,€2.4M
France,"CAM, ST, RW",CAM,MID,R. Rodelin,30,192cm,82kg,En Avant de Guingamp,2018,2021,70,70,€1.5M,1500000.0,€6K,6000.0,€3.1M
Turkey,"CB, CDM",CB,DEF,N. Uysal,29,180cm,72kg,Beşiktaş JK,2009,2023,70,71,€1.5M,1500000.0,€29K,29000.0,€3.4M
Portugal,RB,RB,DEF,Tiago Lopes,31,178cm,66kg,Denizlispor,2019,2021,70,70,€1.2M,1200000.0,€13K,13000.0,€2.6M
Serbia,ST,ST,ATT,D. Vlahović,20,190cm,75kg,Fiorentina,2018,2023,70,81,€3.5M,3500000.0,€21K,21000.0,€5.9M
France,"RWB, RB",RWB,DEF,L. Dos Santos,27,177cm,70kg,Valenciennes FC,2017,2022,70,71,€1.7M,1700000.0,€4K,4000.0,€3.3M
Australia,GK,GK,GK,L. Thomas,28,191cm,91kg,SønderjyskE,2020,2022,70,71,€1.3M,1300000.0,€7K,7000.0,€2M
Italy,CB,CB,DEF,F. Lucioni,32,185cm,80kg,Lecce,2018,2021,70,70,€1M,1000000.0,€18K,18000.0,€2M
France,"CM, CDM",CDM,MID,M. Malsa,24,178cm,69kg,Levante UD,2020,2024,70,76,€2.5M,2500000.0,€11K,11000.0,€5.5M
Croatia,"CDM, CM",CDM,MID,K. Bistrović,22,183cm,75kg,PFC CSKA Moscow,2018,2022,70,80,€3.4M,3400000.0,€17K,17000.0,€4.7M
Ghana,"RM, LM, RW",RM,MID,A. Adomah,32,185cm,74kg,Queens Park Rangers,2020,2022,70,70,€1.3M,1300000.0,€7K,7000.0,€2.6M
Germany,"LB, LM",LB,DEF,P. Heise,29,184cm,78kg,Karlsruher SC,Jun ,Loan,70,70,€1.4M,1400000.0,€7K,7000.0,€0
Mozambique,"LB, LW, RW",LM,MID,Witi,23,173cm,68kg,CD Nacional,2015,2024,70,76,€2.4M,2400000.0,€6K,6000.0,€5.1M
Argentina,"CM, CAM",CAM,MID,C. Ferreira,20,175cm,69kg,River Plate,2017,2022,70,81,€3.5M,3500000.0,€7K,7000.0,€4.8M
Romania,RB,RB,DEF,V. Crețu,31,176cm,71kg,FCSB (Steaua),2019,2021,70,70,€1.2M,1200000.0,€9K,9000.0,€1.8M
Wales,"ST, RW",ST,ATT,H. Robson-Kanu,31,183cm,83kg,West Bromwich Albion,2016,2021,70,70,€1.3M,1300000.0,€42K,42000.0,€3.2M
Czech Republic,"CAM, LW, RW",CAM,MID,O. Lingr,21,175cm,70kg,SK Slavia Praha,2020,2024,70,80,€3.6M,3600000.0,€500,500.0,€7M
Argentina,CB,CB,DEF,T. Cardona,24,188cm,80kg,UD Las Palmas,Jun ,Loan,70,77,€3M,3000000.0,€5K,5000.0,€0
Austria,CB,CB,DEF,D. Maresic,20,183cm,74kg,Stade de Reims,2019,2024,70,82,€3.6M,3600000.0,€9K,9000.0,€6.4M
Scotland,ST,ST,ATT,S. Fletcher,33,186cm,76kg,Stoke City,2020,2021,70,70,€1M,1000000.0,€17K,17000.0,€2.1M
Austria,CB,CB,DEF,K. Danso,21,190cm,87kg,Fortuna Düsseldorf,Jun ,Loan,70,77,€3M,3000000.0,€10K,10000.0,€0
England,"LWB, LB",LWB,DEF,S. Malone,29,189cm,75kg,Millwall,Jun ,Loan,70,70,€1.4M,1400000.0,€15K,15000.0,€0
Sweden,ST,ST,ATT,C. Strandberg,24,187cm,90kg,Al Hazem,2019,2025,70,75,€2.4M,2400000.0,€12K,12000.0,€4.1M
Chile,"ST, LW",ST,ATT,P. Rubio,31,174cm,84kg,Alianza Lima,2020,2021,70,70,€1.3M,1300000.0,€850,850.0,€3.4M
Serbia,ST,ST,ATT,F. Đorđević,32,186cm,80kg,Chievo Verona,2018,2021,70,70,€1.3M,1300000.0,€3K,3000.0,€2.2M
Czech Republic,"RB, LB",RB,DEF,A. Matějů,24,185cm,80kg,Brescia,2019,2021,70,74,€2.1M,2100000.0,€15K,15000.0,€3.8M
Sweden,ST,ST,ATT,C. Nyman,27,185cm,82kg,IFK Norrköping,2019,2021,70,70,€1.7M,1700000.0,€5K,5000.0,€2.4M
Germany,CB,CB,DEF,M. Franke,27,193cm,90kg,Hannover 96,2019,2022,70,73,€1.8M,1800000.0,€13K,13000.0,€3.2M
Iceland,CB,CB,DEF,J. Fjóluson,31,195cm,81kg,SK Brann,2020,2020,70,70,€1.1M,1100000.0,€3K,3000.0,€1.6M
Austria,GK,GK,GK,P. Pentz,23,182cm,81kg,FK Austria Wien,2015,2022,70,76,€2M,2000000.0,€7K,7000.0,€3M
France,"CB, LB",CB,DEF,S. Willems,29,180cm,75kg,Sporting de Charleroi,2013,2022,70,70,€1.3M,1300000.0,€8K,8000.0,€2.3M
Iran,RB,RB,DEF,S. Beitashour,33,178cm,71kg,Colorado Rapids,2020,2020,70,70,€825K,825000.0,€5K,5000.0,€1.2M
Portugal,CB,CB,DEF,M. Correia,31,186cm,81kg,SC Paderborn 07,2020,2022,70,70,€1.1M,1100000.0,€11K,11000.0,€2.1M
Uruguay,"CAM, RW, LW",CAM,MID,P. López,23,169cm,63kg,Deportivo Toluca,2017,2024,70,73,€2.2M,2200000.0,€11K,11000.0,€4.1M
Spain,ST,ST,ATT,Campuzano,23,174cm,72kg,RCD Espanyol,2018,2022,70,78,€3.6M,3600000.0,€5K,5000.0,€4.6M
Australia,GK,GK,GK,M. Langerak,31,193cm,78kg,Nagoya Grampus,2018,2021,70,70,€850K,850000.0,€3K,3000.0,€1.4M
Australia,"CDM, CAM, CM",ST,ATT,J. Irvine,27,188cm,70kg,lub,Free,Free,70,72,€0,0.0,€0,0.0,€0
Austria,"CM, LM",CM,MID,K. Kerschbaumer,28,180cm,78kg,1. FC Heidenheim 1846,2019,2022,70,70,€1.6M,1600000.0,€14K,14000.0,€2.9M
Peru,"CDM, CM",CDM,MID,E. Aubert,31,172cm,65kg,Melgar FBC,2020,2024,70,70,€1.1M,1100000.0,€500,500.0,€2.8M
Sweden,"CM, CAM",CM,MID,A. Khalili,28,182cm,77kg,Hammarby IF,2020,2021,70,70,€1.6M,1600000.0,€4K,4000.0,€2.3M
Ghana,"LM, RM",LM,MID,S. Owusu,24,167cm,66kg,Al Fayha,2019,2022,70,75,€2.4M,2400000.0,€11K,11000.0,€4.1M
Slovenia,LM,LM,MID,D. Bohar,28,172cm,69kg,lub,Free,Free,70,70,€0,0.0,€0,0.0,€0
England,"CDM, CM, RB",CDM,MID,A. Rinomhota,23,175cm,72kg,Reading,2015,2022,70,77,€3M,3000000.0,€7K,7000.0,€4.8M
Romania,"RM, LM",RM,MID,S. Hanca,28,182cm,80kg,Cracovia,2019,2025,70,70,€1.6M,1600000.0,€7K,7000.0,€2.4M
Spain,"CAM, ST, CM",CAM,MID,Stoichkov,26,178cm,75kg,CE Sabadell FC,Jun ,Loan,70,72,€2M,2000000.0,€6K,6000.0,€0
Korea Republic,GK,GK,GK,Kim Seung Gyu,29,187cm,84kg,Kashiwa Reysol,2020,2021,70,71,€1.2M,1200000.0,€5K,5000.0,€1.9M
France,"LM, CAM, ST",LM,MID,R. Dugimont,34,182cm,75kg,AJ Auxerre,2018,2021,70,70,€750K,750000.0,€5K,5000.0,€1.6M
Brazil,"LW, ST",LW,ATT,Paulinho,34,174cm,75kg,Hammarby IF,2020,2021,70,70,€750K,750000.0,€4K,4000.0,€1.1M
Brazil,CDM,CDM,MID,Judson,27,170cm,71kg,San Jose Earthquakes,2019,2021,70,73,€1.8M,1800000.0,€5K,5000.0,€2.9M
